"name","skills","job_title","job_schedule_type","job_location","salary_year_avg","job_posted_date"
"AT&T","sql","Senior Advanced Analytics","Full-time","Anywhere","$174,000.00","2023-07-20 21:02:02"
"AT&T","hadoop","Senior Advanced Analytics","Full-time","Anywhere","$174,000.00","2023-07-20 21:02:02"
"AT&T","pyspark","Senior Advanced Analytics","Full-time","Anywhere","$174,000.00","2023-07-20 21:02:02"
"AT&T","numpy","Senior Advanced Analytics","Full-time","Anywhere","$174,000.00","2023-07-20 21:02:02"
"AT&T","snowflake","Senior Advanced Analytics","Full-time","Anywhere","$174,000.00","2023-07-20 21:02:02"
"Omada Health","tableau","Senior Data Analyst, Client Analytics","Full-time","Anywhere","$173,000.00","2023-08-25 10:01:22"
"Omada Health","excel","Senior Data Analyst, Client Analytics","Full-time","Anywhere","$173,000.00","2023-08-25 10:01:22"
"Omada Health","sql","Senior Data Analyst, Client Analytics","Full-time","Anywhere","$173,000.00","2023-08-25 10:01:22"
"Cisco Meraki","sql","Senior Data Analyst (Business Intelligence), Support (San...","Full-time","Anywhere","$172,500.00","2023-06-06 00:01:11"
"Cisco Meraki","r","Senior Data Analyst (Business Intelligence), Support (San...","Full-time","Anywhere","$172,500.00","2023-06-06 00:01:11"
"Cisco Meraki","python","Senior Data Analyst (Business Intelligence), Support (San...","Full-time","Anywhere","$172,500.00","2023-06-06 00:01:11"
"Cisco Meraki","snowflake","Senior Data Analyst (Business Intelligence), Support (San...","Full-time","Anywhere","$172,500.00","2023-06-06 00:01:11"
"Cisco Meraki","react","Senior Data Analyst (Business Intelligence), Support (San...","Full-time","Anywhere","$172,500.00","2023-06-06 00:01:11"
"Cisco Meraki","tableau","Senior Data Analyst (Business Intelligence), Support (San...","Full-time","Anywhere","$172,500.00","2023-06-06 00:01:11"
"Cisco Meraki","microstrategy","Senior Data Analyst (Business Intelligence), Support (San...","Full-time","Anywhere","$172,500.00","2023-06-06 00:01:11"
"Empassion","r","Senior Data Analyst","Full-time","Anywhere","$171,000.00","2023-05-11 01:00:01"
"Empassion","tableau","Senior Data Analyst","Full-time","Anywhere","$171,000.00","2023-05-11 01:00:01"
"Empassion","looker","Senior Data Analyst","Full-time","Anywhere","$171,000.00","2023-05-11 01:00:01"
"Empassion","zoom","Senior Data Analyst","Full-time","Anywhere","$171,000.00","2023-05-11 01:00:01"
"Empassion","sql","Senior Data Analyst","Full-time","Anywhere","$171,000.00","2023-05-11 01:00:01"
"Robert Half","java","DTCC Data Analyst","Full-time","Anywhere","$170,000.00","2023-10-06 00:01:41"
"Robert Half","excel","DTCC Data Analyst","Full-time","Anywhere","$170,000.00","2023-10-06 00:01:41"
"Robert Half","go","DTCC Data Analyst","Full-time","Anywhere","$170,000.00","2023-10-06 00:01:41"
"A-Line Staffing Solutions","python","REMOTE Director of Data Analytics","Full-time","Anywhere","$170,000.00","2023-08-09 14:02:45"
"A-Line Staffing Solutions","azure","REMOTE Director of Data Analytics","Full-time","Anywhere","$170,000.00","2023-08-09 14:02:45"
"A-Line Staffing Solutions","sql","REMOTE Director of Data Analytics","Full-time","Anywhere","$170,000.00","2023-08-09 14:02:45"
"Arsenault","python","Senior Data Analyst Remote","Full-time","Anywhere","$170,000.00","2023-09-20 10:00:49"
"Arsenault","sql","Senior Data Analyst Remote","Full-time","Anywhere","$170,000.00","2023-09-20 10:00:49"
"Arsenault","nosql","Senior Data Analyst Remote","Full-time","Anywhere","$170,000.00","2023-09-20 10:00:49"
